# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,
# Mon Mar 24 20:16:32 2014,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [jup] (val),,,,,,,,,,,,,
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc),,,,,,,,,,,,,
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc),,,,,,,,,,,,,
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag),,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,,,,
#,,,,,,,,,,,,,
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
232,,,,,,,,,53.82,2.67,-2.96,0,2007
233,,,,,,,,,53.82,2.67,-2.96,0,2008
234,,,,,,,,,66.49,2.02,-2.14,0,2005
235,,,,,,,,,33.98,1.02,-1.08,0,2005
236,,,,,,,,,33.98,1.02,-1.08,0,2008
237,,,,,,,,,37.16,1.11,-1.18,0,2000
238,,,,,,,,,37.16,1.11,-1.18,0,2002
239,,,,,,,,,300.3,,,-1,2005
240,,,,,,,,,66.89,3.6,-4.03,0,2013
241,,,,,,,,,66.89,3.6,-4.03,0,2013
242,,,,,,,,,45.52,1.91,-2.08,0,2009
243,,,,,,,,,35.91,1.71,-1.89,0,2000
244,,,,,,,,,25.54,0.41,-0.42,0,2008
245,,,,,,,,,59.84,3.28,-3.69,0,2009
246,,,,,,,,,50.18,6.2,-8.24,0,2009
247,,,,,,,,,,,,,2007
248,3.191,0.033,-0.033,0,1.087,0.007,-0.007,0,78.25,5.15,-5.93,0,2007
249,,,,,,,,,127.88,15.27,-20.05,0,2011
250,,,,,,,,,22.38,0.37,-0.38,0,2003
251,,,,,,,,,6.06,0.02,-0.02,0,2011
252,,,,,,,,,6.06,0.02,-0.02,0,2011
253,,,,,,,,,6.06,0.02,-0.02,0,2011
254,,,,,,,,,36.02,1.11,-1.18,0,2006
255,,,,,,,,,44.5,2.68,-3.05,0,2008
256,,,,,,,,,89.13,5.65,-6.48,0,2006
257,,,,,,,,,34.6,0.66,-0.68,0,2001
258,,,,,,,,,31.79,1.33,-1.45,0,2011
259,,,,,,,,,51.97,2.2,-2.4,0,2003
260,,,,,,,,,46.51,2.13,-2.34,0,2006
261,,,,,,,,,56.05,1.82,-1.95,0,2010
262,,,,,,,,,18.24,0.17,-0.17,0,2000
263,,,,,,,,,44.54,1.5,-1.6,0,2012
264,,,,,,,,,42.37,1.57,-1.7,0,2005
265,,,,,,,,,56.18,1.95,-2.1,0,2010
266,,,,,,,,,39.56,1.62,-1.76,0,2001
267,,,,,,,,,168.92,30.03,-46.6,0,2011
268,,,,,,,,,54.71,2.21,-2.41,0,2002
269,,,,,,,,,26.5,0.61,-0.64,0,2009
270,,,,,,,,,121.07,11.78,-14.62,0,2011
271,,,,,,,,,53.82,3.06,-3.45,0,2010
272,,,,,,,,,117.37,9.84,-11.83,0,2009
273,,,,,,,,,136.8,15.73,-20.43,0,2011
274,,,,,,,,,86.88,6.3,-7.37,0,2006
275,,,,,,,,,20.98,0.23,-0.23,0,2005
276,,,,,,,,,45.01,2.03,-2.23,0,2009
277,,,,,,,,,33.24,1.22,-1.32,0,2002
278,,,,,,,,,33.24,1.22,-1.32,0,2002
279,,,,,,,,,33.24,1.22,-1.32,0,2005
280,,,,,,,,,42.88,2.28,-2.55,0,2004
281,,,,,,,,,42.88,2.28,-2.55,0,2012
282,0.34,0.02,-0.02,0,,,,,37.78,0.78,-0.82,0,2010
283,,,,,,,,,42.43,1.59,-1.72,0,2000
284,,,,,,,,,42.43,1.59,-1.72,0,2000
285,,,,,,,,,99.4,14.66,-20.79,0,2009
286,,,,,,,,,18.21,0.15,-0.15,0,2001
287,,,,,,,,,12.83,0.09,-0.09,0,2008
288,,,,,,,,,12.83,0.09,-0.09,0,2008
289,,,,,,,,,12.83,0.09,-0.09,0,2008
290,,,,,,,,,12.83,0.09,-0.09,0,2012
291,,,,,,,,,12.83,0.09,-0.09,0,2012
292,,,,,,,,,12.83,0.09,-0.09,0,2012
293,,,,,,,,,33.33,0.89,-0.94,0,2002
294,,,,,,,,,43.03,1.81,-1.98,0,2004
295,,,,,,,,,43.03,1.81,-1.98,0,2003
296,,,,,,,,,52.03,2.05,-2.23,0,2013
297,,,,,,,,,52.03,2.05,-2.23,0,2013
298,,,,,,,,,54.94,5.88,-7.48,0,2010
299,,,,,,,,,37.05,1.11,-1.18,0,2008
300,,,,,,,,,93.2,9.09,-11.3,0,2007
301,,,,,,,,,50.43,2.47,-2.73,0,2010
302,,,,,,,,,32.58,0.84,-0.88,0,2008
