pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,NaN,NaN,NaN,55.04,3.52,-4.03,2005
NaN,NaN,NaN,NaN,NaN,NaN,58.82,3.14,-3.52,2001
NaN,NaN,NaN,NaN,NaN,NaN,12.58,0.12,-0.12,2006
NaN,NaN,NaN,NaN,NaN,NaN,12.58,0.12,-0.12,2006
NaN,NaN,NaN,NaN,NaN,NaN,12.58,0.12,-0.12,2006
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,28.76,0.49,-0.5,2003
NaN,NaN,NaN,NaN,NaN,NaN,51.36,2.58,-2.87,2002
NaN,NaN,NaN,NaN,NaN,NaN,53.05,2.7,-3,2008
NaN,NaN,NaN,NaN,NaN,NaN,36.52,1,-1.06,2003
NaN,NaN,NaN,NaN,NaN,NaN,94.61,8.25,-9.99,2002
NaN,NaN,NaN,NaN,NaN,NaN,94.61,8.25,-9.99,2005
NaN,NaN,NaN,NaN,NaN,NaN,96.99,9.43,-11.7,2008
NaN,NaN,NaN,NaN,NaN,NaN,64.56,4.28,-4.93,2003
NaN,NaN,NaN,NaN,NaN,NaN,64.56,4.28,-4.93,2003
NaN,NaN,NaN,NaN,NaN,NaN,28.94,0.46,-0.48,1999
NaN,NaN,NaN,NaN,NaN,NaN,80.58,6.45,-7.68,2007
NaN,NaN,NaN,NaN,NaN,NaN,59.7,2.26,-2.45,2002
0.05,0.015,-0.017,NaN,NaN,NaN,41.27,1.92,-2.11,2012
NaN,NaN,NaN,NaN,NaN,NaN,48.64,2.21,-2.43,2011
3.94,0.11,-0.11,0.98,0.03,-0.03,29.04,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,32.56,1.26,-1.37,2005
NaN,NaN,NaN,NaN,NaN,NaN,88.26,6.09,-7.07,2007
1.681,0.028,-0.028,NaN,NaN,NaN,27.46,0.62,-0.65,2003
1.959,0.047,-0.047,NaN,NaN,NaN,27.46,0.62,-0.65,2003
NaN,NaN,NaN,NaN,NaN,NaN,112.23,10.5,-12.92,2011
