394,,68.54,HD 108874 b,2002,2
395,,68.54,HD 108874 c,2005,2
396,,65.62,HD 109246 b,2010,2
397,,56.92,HD 109271 b,2013,2
398,,56.92,HD 109271 c,2013,2
399,,59.03,HD 109749 b,2005,2
400,,97.66,HD 110014 b,2009,2
401,,28.88,HD 111232 b,2003,2
402,,37.42,HD 113337 b,2013,2
403,,15.71,HD 113538 b,2010,2
404,,15.71,HD 113538 c,2010,2
405,,28.04,HD 114386 b,2003,2
406,,20.48,HD 114613 b,2014,2
407,,40.57,HD 114762 b,1989,2
408,,20.43,HD 114783 b,2001,2
409,,35,HD 114729 b,2002,2
410,,110.62,HD 116029 b,2011,2
411,,33.01,HD 117207 b,2004,2
412,,38.02,HD 117618 b,2004,2
413,,88.57,HD 118203 b,2005,2
414,,97.66,HD 120084 b,2013,2
415,,44.37,HD 121504 b,2003,2
416,,52.83,HD 125612 b,2007,2
417,,52.83,HD 125612 c,2009,2
418,,52.83,HD 125612 d,2009,2
419,,27.45,HD 125595 b,2009,2
420,,68.35,HD 126614 b,2009,2
421,,16.57,HD 128311 b,2002,2
422,,16.57,HD 128311 c,2005,2
423,,67.61,HD 129445 b,2009,2
424,,29.76,HD 130322 b,1999,2
425,,121.36,HD 131496 b,2011,2
426,,70.97,HD 132406 b,2007,2
427,,98.52,HD 132563 b,2011,2
428,,57.21,HD 131664 b,2008,2
429,,25.65,HD 134987 b,1999,2
430,,25.65,HD 134987 c,2009,2
431,,106.38,HD 136418 b,2009,2
432,,121.36,HD 139357 b,2008,2
433,,38.45,HD 137388 A b,2011,2
434,,33.46,HD 141937 b,2002,2
435,,106.38,HD 142245 b,2011,2
436,,34.57,HD 142415 b,2003,2
437,,59.35,HD 143361 b,2008,2
438,,126.1,HD 145457 b,2010,2
439,,35.87,HD 142022 A b,2005,2
440,,55.19,HD 145377 b,2008,2
441,,42.68,HD 147018 b,2009,2
442,,42.68,HD 147018 c,2009,2
443,,12.87,HD 147513 b,2003,2
444,,53.05,HD 148156 b,2009,2
445,,59.28,HD 148427 b,2009,2
446,0.813,78.86,HD 149026 b,2005,2
447,,63.49,HD 149143 b,2005,2
448,,85.18,HD 152079 b,2009,2
449,,182.82,HD 152581 b,2011,2
450,,51.87,HD 153950 b,2008,2
451,,18.06,HD 154345 b,2006,2
452,,65.79,HD 154672 b,2008,2
453,,68.54,HD 154857 b,2004,2
454,,68.54,HD 154857 c,2014,2
455,,43.4,HD 155358 b,2007,2
456,,43.4,HD 155358 c,2007,2
457,,35.37,HD 156279 b,2011,2
458,,55.1,HD 156411 b,2009,2
459,,24.05,HD 156668 b,2010,2
460,,49,HD 156846 b,2007,2
461,,114.15,HD 158038 b,2011,2
462,,68.59,HD 159243 b,2013,2
463,,68.59,HD 159243 c,2013,2
464,,52.72,HD 159868 b,2006,2
465,,52.72,HD 159868 c,2012,2
466,,15.28,HD 160691 b,2000,2
467,,15.28,HD 160691 c,2004,2
468,,15.28,HD 160691 d,2004,2
469,,15.28,HD 160691 e,2006,2
470,,31.26,HD 162020 b,2002,2
471,,69.44,HD 163607 b,2010,2
472,,69.44,HD 163607 c,2010,2
473,,51.81,HD 164509 b,2010,2
474,,21.92,HD 164922 b,2005,2
475,,37.98,HD 164604 b,2009,2
476,,42.99,HD 166724 b,2012,2
477,,50,HD 167042 b,2007,2
478,,37.88,HD 168443 b,1998,2
479,,37.88,HD 168443 c,2000,2
480,,43.12,HD 168746 b,2002,2
481,,36.32,HD 169830 b,2000,2
482,,36.32,HD 169830 c,2003,2
483,,64.98,HD 170469 b,2007,2
484,,,HD 171028 b,2007,2
485,,44.05,HD 171238 b,2009,2
486,,134.95,HD 173416 b,2008,2
487,,67.02,HD 175167 b,2009,2
488,,127.55,HD 175541 b,2007,2
489,,59.03,HD 177830 b,1999,2
490,,59.03,HD 177830 c,2010,2
491,,46.73,HD 178911 B b,2001,2
492,,63.69,HD 179079 b,2008,2
493,,27.05,HD 179949 b,2000,2
494,,131.75,HD 180314 b,2010,2
495,,114.55,HD 180902 b,2009,2
496,,115.47,HD 181342 b,2009,2
497,,55.93,HD 181720 b,2009,2
498,,26.15,HD 181433 b,2008,2
499,,26.15,HD 181433 c,2008,2
500,,26.15,HD 181433 d,2008,2
501,,52.83,HD 183263 b,2004,2
502,,52.83,HD 183263 c,2008,2
503,,47.37,HD 185269 b,2006,2
504,,47.92,HD 187123 b,1998,2
505,,47.92,HD 187123 c,1999,2
506,,44.98,HD 187085 b,2006,2
507,,52.63,HD 188015 b,2004,2
508,1.151,19.25,HD 189733 b,2005,2
509,,62.11,HD 190228 b,2002,2
510,,15.89,HD 190360 b,2003,2
511,,15.89,HD 190360 c,2005,2
512,,54.23,HD 190647 b,2007,2
513,,189.39,HD 190984 b,2009,2
514,,19.89,HD 192263 b,1999,2
515,,8.82,HD 192310 b,2011,2
516,,8.82,HD 192310 c,2011,2
517,,67.39,HD 192699 b,2007,2
518,,37.35,HD 195019 b,1999,2
519,,46.93,HD 196050 b,2002,2
520,,43.57,HD 196067 b,2012,2
521,,32.99,HD 196885 b,2007,2
522,,32.83,HD 197037 b,2011,2
523,,68.35,HD 200964 b,2010,2
524,,68.35,HD 200964 c,2010,2
525,,46.34,HD 202206 b,2002,2
526,,46.34,HD 202206 c,2004,2
527,,40.85,HD 203030 b,2006,2
528,,47.3,HD 204313 b,2009,2
529,,47.3,HD 204313 d,2012,2
530,,26.95,HD 204941 b,2011,2
531,,90.33,HD 205739 b,2008,2
532,,170.07,HD 206610 b,2009,2
533,,55.31,HD 207832 b,2012,2
534,,55.31,HD 207832 c,2012,2
535,,352.11,HD 208527 b,2012,2
536,,43.99,HD 208487 b,2004,2
537,1.38,47.08,HD 209458 b,1999,2
538,,21.29,HD 210277 b,1998,2
539,,55.93,HD 210702 b,2007,2
540,,121.8,HD 212771 b,2009,2
541,,52.72,HD 212301 b,2005,2
542,,40.75,HD 213240 b,2001,2
543,,43.53,HD 215497 b,2009,2
544,,43.53,HD 215497 c,2009,2
545,,33.29,HD 216435 b,2002,2
546,,26.52,HD 216437 b,2002,2
547,,37.89,HD 216770 b,2003,2
548,,19.72,HD 217107 b,1998,2
549,,19.72,HD 217107 c,2005,2
550,,54.92,HD 217786 b,2010,2
551,,29.94,HD 218566 b,2010,2
552,,29.2,HD 219077 b,2012,2
553,,,HD 219415 b,2012,2
554,,81.1,HD 219828 b,2007,2
555,,289.02,HD 220074 b,2012,2
556,,45.23,HD 220689 b,2012,2
557,,48.43,HD 220773 b,2011,2
558,,52.88,HD 221287 b,2007,2
559,,50.45,HD 222155 b,2011,2
560,,41.95,HD 222582 b,1999,2
561,,94.07,HD 224693 b,2006,2
562,,108.46,HD 231701 b,2007,2
563,,,HD 233604 b,2013,2
564,,,HD 240210 b,2009,2
565,,307.69,HD 240237 b,2011,2
566,,54.92,HD 290327 b,2009,2
567,,9.42,HD 285968 b,2008,2
568,,50.2,HD 330075 b,2004,2
569,,44.8,HIP 5158 b,2009,2
570,,44.8,HIP 5158 c,2011,2
571,,23.8,HIP 12961 b,2010,2
572,,52.88,HIP 14810 b,2005,2
573,,52.88,HIP 14810 c,2006,2
