rowid,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend
76,8679.7,69.35,-69.35,0,0,0.002,0,0,44.3,0.7,-0.7,0,31.42,73.32,-20.95,0,nul,nul,nul,nul,1.3,0.15,-0.18,0,nul,nul,nul,nul,0.13,0.05,0,0,0.13,0.02,0,0,6.8,M8,nul,0,0
77,655.6,0.6,-0.6,0,0.54,0.005,-0.005,0,nul,nul,nul,nul,nul,nul,nul,nul,5.1,0.12,-0.12,0,nul,nul,nul,nul,nul,nul,nul,nul,0.74,0.03,0,0,0.69,nul,0,0,5.5,K5 V,nul,0,0
78,714.3,5.3,-5.3,0,0.21,0.07,-0.07,0,nul,nul,nul,nul,nul,nul,nul,nul,10.6,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4.5,G5 IV/V,nul,0,0
79,3.48777,0.00011,-0.00011,0,0.019,0.023,-0.023,0,nul,nul,nul,nul,0.458,0.039,-0.039,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,1.01,nul,nul,0,nul,nul,nul,nul,5,K0 V,nul,0,0
80,5.6,0.02,-0.02,0,0.15,0.15,-0.15,0,nul,nul,nul,nul,nul,nul,nul,nul,0.045,0.007,-0.007,0,nul,nul,nul,nul,nul,nul,nul,nul,0.74,0.07,0,0,nul,nul,nul,nul,5.3,K3 V,nul,0,0
81,237.6,1.5,-1.5,0,0.19,0.09,-0.09,0,nul,nul,nul,nul,nul,nul,nul,nul,0.33,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,0.74,0.07,0,0,nul,nul,nul,nul,5.3,K3 V,nul,0,0
82,3.8728,0.0004,-0.0004,0,0,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0.027,0.004,-0.004,0,nul,nul,nul,nul,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,5.85,K7/M0 V,nul,0,0
83,125.94,0.44,-0.44,0,0.31,0.11,-0.11,0,nul,nul,nul,nul,nul,nul,nul,nul,0.17,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,5.85,K7/M0 V,nul,0,0
84,268.94,0.99,-0.99,0,0.29,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,1.47,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0.86,0.15,0,0,0.95,0.2,0,0,5.2,K2 V,nul,0,0
85,137.48,0.34,-0.34,0,0.26,0.1,-0.1,0,nul,nul,nul,nul,nul,nul,nul,nul,1.11,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,1.1,0.2,0,0,14.7,2.8,0,0,5,K0,nul,0,0
86,379.63,2.01,-2.01,0,0.15,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,21.42,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.8,1.5,0,0,49,26,0,0,5.2,K2 II,nul,0,0
87,621.99,10.2,-10.2,0,0.18,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,12.47,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.8,1.5,0,0,49,26,0,0,5.2,K2 II,nul,0,0
88,578.2,5.4,-5.4,0,0.21,0.06,-0.06,0,nul,nul,nul,nul,4.2,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.8,0.2,0,0,17.3,0.9,0,0,5.5,K5 III,nul,0,0
89,392.6,5.5,-5.5,0,0.2,0.1,-0.1,0,nul,nul,nul,nul,nul,nul,nul,nul,0.91,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0.74,0.39,0,0,11,1,0,0,5,K0 III,nul,0,0
90,10037.5,2737.5,-2737.5,0,nul,nul,nul,nul,nul,nul,nul,nul,10.5,4.5,-4.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.02,0.01,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul
91,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,12.569,8.379,-5.237,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.35,nul,0,0,nul,nul,nul,nul,6.35,M3.5,nul,0,0
92,1.5089557,0.0000064,-0.0000064,0,0,nul,nul,0,85.1,0.5,-0.5,0,1.03,0.12,-0.12,0,nul,nul,nul,nul,1.49,0.08,-0.08,0,0.38,0.05,-0.05,0,0.95,0.15,0,0,1.11,0.05,0,0,4,G0 V,nul,0,0
93,1.7429935,0.000001,-0.000001,0,0.0143,0.0077,-0.0076,0,88.08,0.18,-0.16,0,3.47,0.22,-0.22,0,nul,nul,nul,nul,1.466,0.042,-0.044,0,1.47,0.08,-0.074,0,0.96,0.08,0,0,0.91,0.03,0,0,nul,nul,nul,nul,nul
