rowid,koi_pdisposition,koi_disposition,koi_prad,
4512,CANDIDATE,CANDIDATE,1.7,1
4688,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4695,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4732,CANDIDATE,CANDIDATE,1.7,1
4738,CANDIDATE,CANDIDATE,1.7,1
4776,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4854,CANDIDATE,CANDIDATE,1.7,1
4999,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5039,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5309,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5548,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5630,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5652,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5682,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5686,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5727,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5772,FALSE POSITIVE,FALSE POSITIVE,1.7,0
5773,FALSE POSITIVE,FALSE POSITIVE,1.7,0
6386,NOT DISPOSITIONED,NOT DISPOSITIONED,1.7,0
6475,CANDIDATE,CANDIDATE,1.7,1
6899,FALSE POSITIVE,FALSE POSITIVE,1.7,0
6762,CANDIDATE,CANDIDATE,1.706,1
6364,FALSE POSITIVE,FALSE POSITIVE,1.709,0
489,CANDIDATE,CONFIRMED,1.71,1
827,CANDIDATE,CANDIDATE,1.71,1
1826,FALSE POSITIVE,FALSE POSITIVE,1.71,0
2072,CANDIDATE,CANDIDATE,1.71,1
2224,CANDIDATE,CONFIRMED,1.71,1
2763,CANDIDATE,CANDIDATE,1.71,1
3785,CANDIDATE,CONFIRMED,1.71,1
3866,CANDIDATE,CANDIDATE,1.71,1
3876,CANDIDATE,CANDIDATE,1.71,1
4422,FALSE POSITIVE,FALSE POSITIVE,1.71,0
4429,CANDIDATE,CANDIDATE,1.71,1
4807,FALSE POSITIVE,FALSE POSITIVE,1.71,0
5390,CANDIDATE,CANDIDATE,1.71,1
5738,FALSE POSITIVE,FALSE POSITIVE,1.71,0
5899,CANDIDATE,CANDIDATE,1.71,1
6030,NOT DISPOSITIONED,NOT DISPOSITIONED,1.71,0
6142,NOT DISPOSITIONED,NOT DISPOSITIONED,1.71,0
6326,NOT DISPOSITIONED,NOT DISPOSITIONED,1.71,0
6377,FALSE POSITIVE,FALSE POSITIVE,1.71,0
6821,NOT DISPOSITIONED,NOT DISPOSITIONED,1.71,0
4063,CANDIDATE,CANDIDATE,1.712,1
4706,CANDIDATE,CANDIDATE,1.717,1
78,FALSE POSITIVE,FALSE POSITIVE,1.72,0
111,CANDIDATE,CANDIDATE,1.72,1
621,CANDIDATE,CONFIRMED,1.72,1
698,CANDIDATE,CANDIDATE,1.72,1
914,CANDIDATE,CANDIDATE,1.72,1
1152,CANDIDATE,CONFIRMED,1.72,1
1436,CANDIDATE,CONFIRMED,1.72,1
2031,CANDIDATE,CANDIDATE,1.72,1
2167,CANDIDATE,CANDIDATE,1.72,1
2866,CANDIDATE,CANDIDATE,1.72,1
3359,FALSE POSITIVE,FALSE POSITIVE,1.72,0
4307,CANDIDATE,CANDIDATE,1.72,1
4895,CANDIDATE,CANDIDATE,1.72,1
5380,CANDIDATE,CANDIDATE,1.72,1
5931,FALSE POSITIVE,FALSE POSITIVE,1.72,0
6181,FALSE POSITIVE,FALSE POSITIVE,1.72,0
6373,NOT DISPOSITIONED,NOT DISPOSITIONED,1.72,0
7037,NOT DISPOSITIONED,NOT DISPOSITIONED,1.72,0
4539,CANDIDATE,CANDIDATE,1.722,1
4837,CANDIDATE,CANDIDATE,1.722,1
94,CANDIDATE,CANDIDATE,1.729,1
182,CANDIDATE,CONFIRMED,1.73,1
865,FALSE POSITIVE,FALSE POSITIVE,1.73,0
906,CANDIDATE,CANDIDATE,1.73,1
1000,FALSE POSITIVE,FALSE POSITIVE,1.73,0
1434,CANDIDATE,CANDIDATE,1.73,1
1921,CANDIDATE,CANDIDATE,1.73,1
1922,CANDIDATE,CANDIDATE,1.73,1
2303,CANDIDATE,CANDIDATE,1.73,1
2975,CANDIDATE,CONFIRMED,1.73,1
2996,CANDIDATE,CONFIRMED,1.73,1
4954,CANDIDATE,CANDIDATE,1.73,1
5942,NOT DISPOSITIONED,NOT DISPOSITIONED,1.73,0
6050,NOT DISPOSITIONED,NOT DISPOSITIONED,1.73,0
6140,FALSE POSITIVE,FALSE POSITIVE,1.73,0
6376,CANDIDATE,CANDIDATE,1.73,1
6995,NOT DISPOSITIONED,NOT DISPOSITIONED,1.73,0
7086,NOT DISPOSITIONED,NOT DISPOSITIONED,1.734,0
4735,FALSE POSITIVE,FALSE POSITIVE,1.737,0
452,CANDIDATE,CONFIRMED,1.74,1
1026,CANDIDATE,CONFIRMED,1.74,1
1224,CANDIDATE,CANDIDATE,1.74,1
1605,CANDIDATE,CONFIRMED,1.74,1
2168,CANDIDATE,CANDIDATE,1.74,1
2452,CANDIDATE,CONFIRMED,1.74,1
3818,CANDIDATE,CANDIDATE,1.74,1
4826,CANDIDATE,CANDIDATE,1.74,1
5111,CANDIDATE,CANDIDATE,1.74,1
5399,CANDIDATE,CANDIDATE,1.74,1
5586,FALSE POSITIVE,FALSE POSITIVE,1.74,0
5663,FALSE POSITIVE,FALSE POSITIVE,1.74,0
6454,NOT DISPOSITIONED,NOT DISPOSITIONED,1.74,0
6823,NOT DISPOSITIONED,NOT DISPOSITIONED,1.74,0
4507,CANDIDATE,CANDIDATE,1.748,1
5801,CANDIDATE,CANDIDATE,1.748,1
6968,NOT DISPOSITIONED,NOT DISPOSITIONED,1.748,0
429,FALSE POSITIVE,FALSE POSITIVE,1.75,0
1717,CANDIDATE,CANDIDATE,1.75,1
2541,CANDIDATE,CONFIRMED,1.75,1
2576,CANDIDATE,CONFIRMED,1.75,1
3707,FALSE POSITIVE,FALSE POSITIVE,1.75,0
4051,CANDIDATE,CANDIDATE,1.75,1
4124,FALSE POSITIVE,FALSE POSITIVE,1.75,0
5810,FALSE POSITIVE,FALSE POSITIVE,1.75,0
6160,CANDIDATE,CANDIDATE,1.75,1
6353,NOT DISPOSITIONED,NOT DISPOSITIONED,1.75,0
6360,FALSE POSITIVE,FALSE POSITIVE,1.75,0
7238,NOT DISPOSITIONED,NOT DISPOSITIONED,1.75,0
