# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
193,,,,,5.30000,0.70000,-0.70000,0,25.64,0.41,-0.43,0,2012
194,,,,,0.02400,0.00380,-0.00380,0,23.44,0.46,-0.48,0,2009
195,,,,,3.10000,0.20000,-0.20000,0,167.50,25.26,-36.16,0,2011
196,,,,,6.10000,0.90000,-0.90000,0,7.01,,,-1,2010
197,,,,,4.90000,1.00000,-1.00000,0,89.85,8.28,-10.15,0,2002
198,,,,,0.48000,,,0,53.71,3.63,-4.20,0,2005
199,,,,,1.60000,,,0,115.21,8.71,-10.26,0,2013
200,,,,,0.22900,0.00800,-0.00800,0,11.11,0.09,-0.09,0,2003
201,,,,,1.56000,0.04000,-0.04000,0,44.05,1.84,-2.01,0,2007
202,,,,,0.80000,,,0,32.70,1.12,-1.20,0,2001
203,,,,,0.04050,0.00500,-0.00500,0,21.85,0.26,-0.27,0,2005
204,,,,,1.82000,0.05000,-0.05000,0,77.82,7.00,-8.53,0,2001
205,,,,,2.17000,0.52000,-0.52000,0,77.82,7.00,-8.53,0,2014
206,,,,,2.30000,0.20000,-0.20000,0,131.41,14.45,-18.52,0,2009
207,,,,,2.37000,0.34000,-0.34000,0,56.50,2.99,-3.35,0,2012
208,,,,,2.37000,0.38000,-0.38000,0,56.50,2.99,-3.35,0,2012
209,,,,,1.94000,,,0,100.00,9.17,-11.23,0,2007
210,,,,,1.96000,,,0,53.28,2.59,-2.87,0,2009
211,1.40000,,,0,,,,,58.17,2.68,-2.95,0,2012
212,,,,,7.60000,0.40000,-0.40000,0,150.60,23.21,-33.56,0,2011
213,,,,,0.39000,,,0,40.32,1.40,-1.50,0,2003
214,,,,,1.65000,,,0,55.01,2.76,-3.07,0,2009
215,,,,,0.29000,0.02300,-0.02300,0,35.88,0.87,-0.91,0,2011
216,,,,,1.11000,0.27000,-0.37000,0,38.52,1.11,-1.18,0,2011
217,,,,,2.00000,0.36000,-0.54000,0,38.52,1.11,-1.18,0,2011
218,,,,,0.02900,,,0,16.82,0.17,-0.17,0,2008
219,,,,,0.63000,,,0,56.34,2.55,-2.80,0,2010
220,,,,,1.80000,0.06000,-0.06000,0,44.15,1.54,-1.66,0,2002
221,,,,,14.20000,1.60000,-1.60000,0,38.26,1.12,-1.19,0,2009
222,,,,,0.70000,0.06000,-0.06000,0,52.85,2.80,-3.14,0,2009
223,,,,,1.82000,0.17000,-0.17000,0,52.85,2.80,-3.14,0,2009
224,,,,,0.04100,0.00200,-0.00200,0,39.39,0.94,-0.99,0,2010
225,,,,,0.03800,0.00200,-0.00200,0,39.39,0.94,-0.99,0,2010
226,,,,,0.08000,0.00400,-0.00400,0,39.39,0.94,-0.99,0,2010
227,,,,,0.07400,0.00500,-0.00500,0,39.39,0.94,-0.99,0,2010
