441,NaN,2.12,42.68,2009
442,NaN,6.56,42.68,2009
443,NaN,1.21,12.87,2003
444,NaN,0.85,53.05,2009
445,NaN,0.96,59.28,2009
446,0.368,NaN,78.86,2005
447,NaN,1.33,63.49,2005
448,NaN,3,85.18,2009
449,NaN,1.5,182.82,2011
450,NaN,2.73,51.87,2008
451,NaN,0.947,18.06,2006
452,NaN,5.02,65.79,2008
453,NaN,2.24,68.54,2004
454,NaN,2.58,68.54,2014
455,NaN,0.85,43.4,2007
456,NaN,0.82,43.4,2007
457,NaN,9.71,35.37,2011
458,NaN,0.75,55.1,2009
459,NaN,0.013,24.05,2010
460,NaN,10.57,49,2007
461,NaN,1.8,114.15,2011
462,NaN,1.13,68.59,2013
463,NaN,1.9,68.59,2013
464,NaN,2.1,52.72,2006
465,NaN,0.73,52.72,2012
466,1.676,NaN,15.28,2000
467,NaN,1.814,15.28,2004
468,0.03321,NaN,15.28,2004
469,0.5219,NaN,15.28,2006
470,NaN,14.4,31.26,2002
471,NaN,0.77,69.44,2010
472,NaN,2.29,69.44,2010
473,NaN,0.48,51.81,2010
474,NaN,0.36,21.92,2005
475,NaN,2.7,37.98,2009
476,NaN,3.53,42.99,2012
477,NaN,1.7,50,2007
478,NaN,8.02,37.88,1998
479,NaN,18.1,37.88,2000
480,NaN,0.23,43.12,2002
481,NaN,2.88,36.32,2000
482,NaN,4.04,36.32,2003
483,NaN,0.67,64.98,2007
484,NaN,1.83,NaN,2007
485,NaN,2.6,44.05,2009
486,NaN,2.7,134.95,2008
487,NaN,7.8,67.02,2009
488,NaN,0.61,127.55,2007
489,NaN,1.49,59.03,1999
490,NaN,0.15,59.03,2010
491,NaN,7.03,46.73,2001
492,NaN,0.08,63.69,2008
493,NaN,0.95,27.05,2000
494,22,NaN,131.75,2010
495,NaN,1.6,114.55,2009
496,NaN,3.3,115.47,2009
497,NaN,0.37,55.93,2009
498,NaN,0.0238,26.15,2008
499,NaN,0.64,26.15,2008
500,NaN,0.54,26.15,2008
501,NaN,3.69,52.83,2004
502,NaN,3.82,52.83,2008
503,NaN,0.94,47.37,2006
504,NaN,0.52,47.92,1998
505,NaN,1.99,47.92,1999
506,NaN,0.75,44.98,2006
507,NaN,1.26,52.63,2004
508,1.15,NaN,19.25,2005
509,NaN,5.93,62.11,2002
510,NaN,1.502,15.89,2003
511,NaN,0.057,15.89,2005
512,NaN,1.9,54.23,2007
513,NaN,3.1,189.39,2009
514,NaN,0.72,19.89,1999
515,NaN,0.05318,8.82,2011
516,NaN,0.07552,8.82,2011
517,NaN,2.5,67.39,2007
518,NaN,3.7,37.35,1999
519,NaN,3,46.93,2002
520,NaN,6.9,43.57,2012
521,NaN,2.58,32.99,2007
522,NaN,0.79,32.83,2011
523,NaN,1.85,68.35,2010
524,NaN,0.895,68.35,2010
525,NaN,17.4,46.34,2002
