pl_orbper,pl_massj,pl_msinij,pl_radj,st_spstr,,OrbPeriod,MassorMsini(Emass),RadiusERadius,Type,,M = 1
8.884924,9.9,,1.03,G8 V,,8.884924,3146.498517,11.27950032,3,,
124.6,,9.18,,G8,,124.6,39601.38537,NaN,3,,
5501,,10.39,,G8 V,,5501,1748372.56,NaN,3,,
4270,,2.6,,G8 IV/V,,4270,1357126.128,NaN,3,,
7.126816,,1.39,,G8 IV/V,,7.126816,2265.102624,NaN,3,,
373.3,,2.3,,G8 IV,,373.3,118645.242,NaN,3,,
,24.09,,,G8 V,,NaN,7656.479724,NaN,3,,
825,,0.895,,G8 IV,,825,262208.2097,NaN,3,,
613.8,,1.85,,G8 IV,,613.8,195082.908,NaN,3,,
351.5,,2.5,,G8 IV,,351.5,111716.5887,NaN,3,,
1523,,2.6,,G8 V,,1523,484052.2466,NaN,3,,
1244,,0.38,,G8 IV,,1244,395378.1975,NaN,3,,
2597,,1.88,,G8 IV/V,,2597,825399.6614,NaN,3,,
1143,,6.84,,G8 V,,1143,363277.556,NaN,3,,
383.7,,1.16,,G8 V,,383.7,121950.6546,NaN,3,,
1973,,2.82,,G8 IV (+ G),,1973,627074.9064,NaN,3,,
696.3,,10.7,,G8 IV,,696.3,221303.729,NaN,3,,
2140.2,,13.38,,G8 III/IV,,2140.2,680215.7702,NaN,3,,
14.3098,,0.839,,G8 III/IV,,14.3098,4548.057018,NaN,3,,
2819.654,,9.17,,G8 V,,2819.654,896165.3665,NaN,3,,
387.1,,1.7,,G8 IV,,387.1,123031.2703,NaN,3,,
90.309,,0.0151,,G8 III,,90.309,28702.74086,NaN,3,,
40.114,,0.00755,,G8 III,,40.114,12749.35773,NaN,3,,
18.315,,0.0085,,G8 III,,18.315,5821.022256,NaN,3,,
75.523,,0.26,,G8 IV + F,,75.523,24003.33409,NaN,3,,
37.91,,0.0788,,G8 IV,,37.91,12048.86452,NaN,3,,
1945,,0.622,,G8 IV,,1945,618175.7187,NaN,3,,
711,,6.54,,G8 III/IV,,711,225975.8026,NaN,3,,
3.039577,0.62,,1.02,G8,,3.039577,197.0534425,11.1699906,3,,
277.02,,1.7,,G8 III,,277.02,88044.7494,NaN,3,,
326.03,,19.4,,G8 III,,326.03,103621.5062,NaN,3,,
1.5732918,1.271,,1.271,G7,,1.5732918,403.959557,13.91868437,3,,
1.33823187,1.237,,1.413,G7 V,,1.33823187,393.1534005,15.47372228,3,,
17.1,,0.057,,G7 IV-V,,17.1,5434.861074,NaN,3,,
2891,,1.502,,G7 IV-V,,2891,918841.1325,NaN,3,,
297.3,,0.61,,G6/8 IV,,297.3,94490.30394,NaN,3,,
2082,,4.5,,G7 III,,2082,661718.1729,NaN,3,,
2.3114243,1.55,,1.112,G6,,2.3114243,492.6336062,12.17747995,3,,
2.838971,0.672,,0.916,G6,,2.838971,213.5805054,10.0310896,3,,
4.617101,0.571,,1.092,G6,,4.617101,181.4798639,11.95846053,3,,
22.3395,0.626,,,G6 V,,22.3395,198.9604113,NaN,3,,
10.95416,0.027,,0.337,G6 V,,10.95416,8.581359591,3.690477288,3,,
1.855558,0.55,,0.89,G6 V,,1.855558,174.8054732,9.74636435,3,,
1383.4,,2.44,,G6 V,,1383.4,439683.4392,NaN,3,,
255.87,,17.4,,G6 V,,255.87,81322.68439,NaN,3,,
1749.5,,18.1,,G6 V,,1749.5,556040.3187,NaN,3,,
58.11289,,8.02,,G6 V,,58.11289,18469.91133,NaN,3,,
2097,,3,,G6 V,,2097,666485.5949,NaN,3,,
1057,,3.12,,G6 V,,1057,335944.3366,NaN,3,,
1840,,1.6,,G6 V,,1840,584803.7647,NaN,3,,
20.8133,,0.172,,G6 V,,20.8133,6615.052281,NaN,3,,
361.1,,0.9,,G6 V,,361.1,114767.7388,NaN,3,,
325.81,,3.86,,G6 V,,325.81,103551.584,NaN,3,,
3.971,,0.197,,G6 V,,3.971,1262.095516,NaN,3,,
379.1,,2.25,,G6 V,,379.1,120488.6452,NaN,3,,
188.9,,2.25,,G6 V,,188.9,60037.73432,NaN,3,,
851.8,,6.1,,G6 V,,851.8,270726.0037,NaN,3,,
358,,0.64,,G6 IV/V,,358,113782.4716,NaN,3,,
133.71,,3.37,,G6 V,,133.71,42496.79966,NaN,3,,
993.3,,10.3,,G6 III,,993.3,315698.6845,NaN,3,,
385.9,,5.59,,G5/6 V,,385.9,122649.8765,NaN,3,,
,0.68,,,G5 V,,NaN,216.1231304,NaN,3,,
,0.11,,,G5 V,,NaN,34.96109463,NaN,3,,
5.118,,0.4,,G5 V,,5.118,1626.644385,NaN,3,,
6.958,,0.34,,G5 V,,6.958,2211.448149,NaN,3,,
3.57878087,0.43,,0.96,G5 V,,3.57878087,136.6660972,10.51293233,3,,
289.8623,0.113,,0.212,G5 V,,289.8623,35.91457903,2.32160589,3,,
5.0505,,1.068,,G5 V,,5.0505,1605.190986,NaN,3,,
3.369,,0.76,,G5,,3.369,1070.76298,NaN,3,,
572.38,,7.75,,G5 V,,572.38,181918.4668,NaN,3,,
1155.7,0.73,,,G5 V,,1155.7,232.0145371,NaN,3,,
161.97,0.56,,,G5 V,,161.97,177.9837545,NaN,3,,
2831.6,,1.68,,G5 V,,2831.6,899962.1414,NaN,3,,
1931,,4.05,,G5 V,,1931,613726.1248,NaN,3,,
18.20163,,3.7,,G5,,18.20163,5784.99008,NaN,3,,
1038.1,,1.9,,G5 V,,1038.1,329937.3849,NaN,3,,
1136.1,,5.93,,G5,,1136.1,361084.5419,NaN,3,,
456.46,,1.26,,G5,,456.46,145075.8296,NaN,3,,
3810,,1.99,,G5,,3810,1210925.187,NaN,3,,
3.097,,0.52,,G5,,3.097,984.3137279,NaN,3,,
2950,,3.82,,G5,,2950,937592.9924,NaN,3,,
634.23,,3.69,,G5,,634.23,201576.1368,NaN,3,,
14.476,,0.08,,G5 IV,,14.476,4600.880053,NaN,3,,
71.484,,7.03,,G5,,71.484,22719.62626,NaN,3,,
1290,,7.8,,G5 IV/V,,1290,409998.2916,NaN,3,,
1145,,0.67,,G5,,1145,363913.2123,NaN,3,,
6.403,,0.23,,G5 V,,6.403,2035.053536,NaN,3,,
1314,,2.29,,G5,,1314,417626.1668,NaN,3,,
75.29,,0.77,,G5,,75.29,23929.28013,NaN,3,,
352.3,,0.73,,G5 V,,352.3,111970.8513,NaN,3,,
1178.4,,2.1,,G5 V,,1178.4,374528.6719,NaN,3,,
3452,,2.58,,G5 V,,3452,1097142.715,NaN,3,,
408.6,,2.24,,G5 V,,408.6,129864.5751,NaN,3,,
464.3,,2,,G5,,464.3,147567.6022,NaN,3,,
5000,,0.82,,G5 V,,5000,1589140.665,NaN,3,,
258.19,,1.59,,G5 V,,258.19,82060.04566,NaN,3,,
30.93,,0.076,,G5 V,,30.93,9830.424154,NaN,3,,
7.8543,,0.054,,G5 V,,7.8543,2496.317505,NaN,3,,
1624,,0.99,,G5,,1624,516152.888,NaN,3,,
395.8,,1.29,,G5,,395.8,125796.375,NaN,3,,
48.056,,0.21,,G5 V,,48.056,15273.54876,NaN,3,,
3630,,9.61,,G5,,3630,1153716.123,NaN,3,,
2890,,11,,G5 IV,,2890,918523.3044,NaN,3,,
6.495,,0.96,,G5,,6.495,2064.293724,NaN,3,,
49.77,,0.057,,G5 V,,49.77,15818.30618,NaN,3,,
3.416,,0.22,,G5,,3.416,1085.700902,NaN,3,,
184.02,,2.7,,G5,,184.02,58486.73303,NaN,3,,
111.4357,3.94,,0.98,G5,,111.4357,1252.242844,10.73195176,3,,
1966.1,,1.34,,G5,,1966.1,624881.8923,NaN,3,,
1800,,1.15,,G5,,1800,572090.6394,NaN,3,,
152.6,,0.17,,G5 V,,152.6,48500.5731,NaN,3,,
572.4,,1.26,,G5 V,,572.4,181924.8233,NaN,3,,
700,,1.16,,G5 IV/V,,700,222479.6931,NaN,3,,
1353.6,,0.35061,,G5 V,,1353.6,430212.1608,NaN,3,,
4.0845,,0.07167,,G5 V,,4.0845,1298.169009,NaN,3,,
890.76,,1.79,,G5,,890.76,283108.5878,NaN,3,,
1117,,1.16,,G5 V,,1117,355014.0246,NaN,3,,
21.21663,3.191,,1.087,G5,,21.21663,1014.189572,11.90370567,3,,
465.1,,14.3,,G5,,465.1,147821.8647,NaN,3,,
